2020 Jun 23 11:17:10 [Thread-20] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Reference taxonomy set to [Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia, Escherichia coli, Escherichia coli K-12]
2020 Jun 23 11:17:12 [Thread-20] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Iterator size: 1, entries [4.2.99.24]
2020 Jun 23 11:17:15 [Thread-20] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Orthologs to be searched in genome:	1	[psom:113322169]
2020 Jun 23 11:17:15 [Thread-20] run_OrthologGapsSearch INFO  p.u.c.b.m.a.core.RunSimilaritySearch - Writting query sequences temporary fasta files... 
2020 Jun 23 11:17:15 [Thread-20] run_OrthologGapsSearch INFO  p.u.c.b.m.a.core.RunSimilaritySearch - Starting Blast homology searches... 
2020 Jun 23 11:17:15 [Thread-68] run INFO  p.u.c.b.m.a.c.M.BlastAlignment - BLAST search completed with success!
2020 Jun 23 11:17:15 [Thread-20] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 11:17:47 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 23 11:17:47 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 23 11:17:47 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 23 11:40:49 [Thread-22] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 11:41:28 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 23 11:41:28 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 23 11:41:28 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 23 11:41:58 [AWT-EventQueue-0] info INFO  e.u.ei.aibench.workbench.Workbench - Reaction successfully edited!
2020 Jun 23 11:44:38 [Thread-20] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 11:45:16 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 23 11:45:16 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 23 11:45:16 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 23 11:46:49 [Thread-22] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 11:47:28 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 23 11:47:28 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 23 11:47:28 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 23 11:47:36 [Thread-20] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 11:48:15 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 23 11:48:15 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 23 11:48:15 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 23 11:49:10 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 23 11:49:10 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 23 11:49:10 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 23 11:51:40 [Thread-20] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 11:52:18 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 23 11:52:18 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 23 11:52:18 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
